Placa;Vin;Marca;Modelo;Anio;Color;Propietario
RVT-8536;SAJWA4EC6CM226768;Dodge;Ram 1500;2007;Indigo;Edison Danilo Gutierrez Gomez
QQL-9278;WAUML64B93N054473;Mercury;Tracer;1994;Red;Marlon Jose Hernandez Caliz
NHE-7015;5GAKRCKD0EJ550589;Toyota;FJ Cruiser;2012;Purple;Randy Anthony Downs Garcia
JQJ-2775;3C63D2GL8CG909995;Toyota;Tacoma;2010;Puce;Lester Geovanny Luna Gonzalez
BKR-6113;WAUPL68E85A850854;Toyota;Avalon;2002;Blue;Luis Fernando Gaitan Sanchez
ZIH-2024;WAUEH94F67N220271;Pontiac;Bonneville;1997;Orange;Freddy Francisco Matute Aleman
BGN-8038;SAJWA4FB6DL260058;Nissan;Murano;2007;Pink;Francisco Javier Solorzano Cuarezma
BFV-5395;1G6KD5E66BU886637;Ford;Mustang;1995;Puce;Juan Carlos Galan Aguirre
BEY-0460;JTDZN3EUXE3473609;Porsche;968;1994;Orange;Jorge Luis Domingo Castillo Arias
GKG-9485;JA4AS2AWXBU212021;Mazda;MX-3;1992;Yellow;Reyna Isabel Udiel Calderon
TAP-8298;5XYKT3A10DG805991;Mercury;Mariner;2006;Maroon;Jose Maria Bermudez Espinoza
YKQ-7138;1N6BF0KX1FN194547;Toyota;Sienna;2008;Violet;Miguel Sandigo Urbina
DBB-1566;1GYS3CKJ6FR286653;Subaru;Impreza WRX;2011;Aquamarine;Luis David Rivas Duarte
WAE-3338;WAULC58E75A997935;Oldsmobile;Aurora;1995;Puce;Rodrigo Napoleón Ruiz Pineda
BRJ-4729;WBAWL73518P400246;Ford;F150;2004;Puce;Jairo Luis Sanches Trujillo
XSV-3244;JN1AZ4FH6FM190289;GMC;Yukon XL 1500;2006;Maroon;Keneth Fernando Velis Pavon
GRC-1174;WAUUL98E27A646574;Mercury;Cougar;1987;Puce;Eliesser Antonio Guido Lopez
EXD-2415;WBA3B9G5XEN202090;Mitsubishi;L300;1990;Purple;Byron Antonio Moya Urrutia
IWV-1380;1FMJK1G58AE469422;Aston Martin;DB9;2012;Indigo;Liliam de la Concepcion Ramirez Lacayo
XKH-6893;5UXFB33503L923013;Land Rover;Range Rover Sport;2010;Violet;Santos Ramon Varela Castro
NKU-5446;JTDKN3DP9D3888156;Volkswagen;Jetta;2008;Red;Santos Ines Urbina Jarquin
ZIM-9345;1D7RV1CP1AS210044;Volvo;S40;2000;Green;Alexander Jose Castro Betanco
EGU-7988;1G6DJ8EG4A0393671;Toyota;Highlander;2002;Puce;Tanni Yaoska Ruiz Herrera
JEU-0781;1FTSW2B5XAE052426;Buick;Special;1962;Red;Randall Esmerdy Dominguez Cubillo
RLH-1623;1G6DM577780908269;Audi;A5;2010;Puce;Jocabet Rodriguez Aleman
RIE-0699;5NPDH4AEXCH740268;Buick;LeSabre;2002;Mauv;Hilda Zamora Escobar
YIZ-1434;3D73M3HL0BG133797;Isuzu;Trooper;2000;Maroon;Fredman Marcell Perez
CXD-5885;1GYS4BEF8DR645805;BMW;X5 M;2010;Goldenrod;Luis Otoniel Mendoza Campos
VZV-7719;WBA3B3G53EN304957;Volvo;C30;2008;Mauv;Claudia Marcela Rios Mercado
OFS-3328;SCFFDECN8CG673635;Mitsubishi;Challenger;1998;Teal;Bosco Ramon Montenegro Diaz
